"﻿""id. Response ID""",Year Submitted Survey 2, Months Owned (total),oldcarmain,Electric driving range,oldcartype,Discontinuance (inc. purchased lease) 2,Age,Gender,dist1  [Route 1],How many road trips longer than 200 miles round-trip did you or your household complete with each car in the last 12 months (or the time you own the car if less than that)?  [{oldcarmain.NAOK}],{oldcarmain.NAOK} [Safety],Comfort,Refuelling/Recharging costs,Performance,Environmental impacts,"Vehicle Purchase Price (including rebates, discounts, etc.)",Reliability,Electric driving range,Convenience of charging,Driving assistance features,My household's pre-taxed income for the past tax year was in the following range,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Concatenate[[s]...s] Public DCFC] 2,MPG second vehicle in HH 2,"Lease (1 lease, 0 other)",lastpage. Last page
1,2019,24,2016 BMW i3,81,PHEV,Continued,25,Male,13.92,0,5,5,5,5,5,5,5,5,5,5,"$150,000 to $199,999",No Charging,No charging,Level 2,25,1,40
2,2019,20,2018 Tesla Model 3 Long Range,310,BEV,Original,35,Male,10.25,7,5,5,5,5,5,4,5,5,5,5,,Level 2,DC Fast,No charging,,0,37
3,2019,23,2017 Chevrolet Volt,53,PHEV,Original,45,Male,,2,3,2,4,3,4,3,2,2,3,2,"$200,000 to $249,999",No Charging,Level 2,No charging,27,1,40
4,2019,45,2016 Tesla Model S,271,BEV,Original,45,Male,8.68,1,5,4,5,5,4,1,5,4,4,4,I prefer not to answer,Level 2,No charging,No charging,24,0,40
5,2019,19,2019 Nissan Leaf,84,BEV,Original,65,Male,,0,5,5,5,5,5,5,5,4,5,5,"$200,000 to $249,999",Level 2,Level 2,No charging,24,1,40
6,2019,20,2018 Tesla Model 3 Long Range,310,BEV,Original,35,Male,7.55,2,5,4,2,5,5,2,3,2,2,4,"$150,000 to $199,999",Level 2,Level 1,DC Fast,,0,40
7,2019,14,2016 Fiat 500e,87,BEV,Continued,35,Male,8.54,0,2,2,3,2,3,2,4,1,3,3,"$50,000 to $99,999",Level 1,No charging,Level 2,82,1,40
8,2019,,2017 Toyota Mirai,300,,Original,65,Female,28.53,0,5,5,5,5,5,5,5,5,4,5,"$250,000 to $299,999",No Charging,,,,0,40
9,2019,20,2018 Tesla Model 3 Long Range,310,BEV,Original,75,Male,31.04,30,5,5,5,5,5,3,5,5,5,5,"$50,000 to $99,999",Level 2,No charging,No charging,28,0,40
11,2019,48,2015 Nissan Leaf,84,BEV,Discontinued,55,Male,,0,3,2,3,2,3,3,3,1,2,1,I prefer not to answer,Level 1,No charging,No charging,24,1,40
12,2019,30,2015 BMW i3,81,PHEV,Continued,55,Male,9.43,0,4,4,5,4,5,5,5,2,3,3,"$100,000 to $149,999",Level 2,Level 1,No charging,34,1,40
13,2019,31,2016 Volkswagen e-Golf,84,BEV,Continued,35,Male,16.32,0,5,5,5,4,5,5,5,2,4,2,"$150,000 to $199,999",Level 1,Level 1,Level 1 & Level 2,,1,40
14,2019,38,2016 Hyundai Sonata Plug-in Hybrid,28,PHEV,Original,75,Male,8.91,2,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 1,No charging,No charging,24,0,40
15,2019,30,2017 Chevrolet Bolt EV,238,BEV,Original,75,Male,0.01,0,5,5,5,5,5,4,5,4,5,3,"$100,000 to $149,999",Level 2,No charging,No charging,,1,40
16,2019,35,2017 Toyota Prius Prime,25,PHEV,Original,75,Male,11.99,20,4,4,5,5,5,4,5,5,2,4,"$50,000 to $99,999",Level 1,No charging,No charging,,0,40
17,2019,,2015 Tesla Model S,271,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,,0,1
18,2019,23,2017 Honda Clarity EV,89,BEV,Original,65,Male,16.13,0,5,5,5,5,5,5,5,1,5,4,"$150,000 to $199,999",Level 2,Level 2,No charging,27,1,40
19,2019,19,2017 Toyota Prius Prime,25,PHEV,Original,65,Male,,1,5,5,3,5,5,2,5,4,5,5,I prefer not to answer,Level 2,No charging,No charging,23,0,40
20,2019,27,2017 Chevrolet Bolt EV,238,BEV,Original,75,Male,,6,5,2,5,5,5,5,5,4,5,5,"$100,000 to $149,999",Level 2,No charging,DC Fast,16,0,40
21,2019,21,2017 BMW i3 BEV (94 Amp-hour battery),114,BEV,Original,,,,0,,,,,,,,,,,,No Charging,DC Fast,No charging,,0,8
22,2019,63,2014 Honda Accord Plug-in Hybrid,13,PHEV,Original,65,Male,,4,5,5,5,4,5,5,5,5,5,5,"$350,000 to $399,999",Level 1,,,24,0,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2019,34,2015 Nissan Leaf,84,BEV,Continued,75,Male,19.89,0,4,4,5,2,5,4,5,2,5,3,"$50,000 to $99,999",Level 2,No charging,No charging,23,1,40
24,2019,19,2018 Tesla Model 3 Long Range,310,BEV,Original,45,Male,,0,,,,,,,,,,,,Level 2,Level 2,DC Fast,16,0,16
25,2019,44,2016 Tesla Model S,271,BEV,Original,45,Male,31.69,1,5,5,5,5,5,3,5,4,5,5,"$250,000 to $299,999",Level 2,No charging,No charging,18,0,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2019,,2014 Chevrolet Volt,53,PHEV,Original,,,,0,,,,,,,,,,,,Level 1,,,24,1,1
27,2019,54,2013 Toyota Prius Plug-in,11,PHEV,Continued,65,Male,31.3,0,5,5,4,5,4,4,5,2,4,2,"$350,000 to $399,999",Level 1,,,26,0,40
28,2019,34,2017 Toyota Prius Prime,25,PHEV,Original,55,Male,10.03,10,5,5,5,5,5,4,5,5,5,5,"$150,000 to $199,999",Level 1,Level 2,No charging,24,0,40
29,2019,34,2016 Volkswagen e-Golf,84,BEV,Original,45,Male,1.27,0,4,4,4,5,5,4,5,2,2,4,"$150,000 to $199,999",Level 1,No charging,No charging,50,1,40
30,2019,,2011 Nissan Leaf,84,BEV,Continued,65,Male,,0,5,5,5,5,5,5,5,4,5,2,"$150,000 to $199,999",No Charging,,,,0,40
31,2019,84,2012 Toyota Prius Plug-in,11,PHEV,Continued,45,Male,17.88,0,4,4,5,2,4,2,5,2,5,2,I prefer not to answer,Level 1,No charging,No charging,24,0,40
32,2019,35,2015 Ford C-Max Energi,20,PHEV,Continued,45,Male,2.71,0,3,2,5,3,4,2,5,1,5,2,"$150,000 to $199,999",Level 2,No charging,Level 2,23,1,40
33,2019,41,2016 Tesla Model S,271,BEV,Original,65,Male,6.98,3,5,5,5,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,30,0,40
34,2019,33,2016 Chevrolet Volt,53,PHEV,Continued,45,Male,5.31,0,3,3,4,3,3,3,5,2,3,2,"$150,000 to $199,999",Level 2,Level 2,No charging,114,1,40
35,2019,34,2017 BMW i3 REX  (94 Amp-hour battery),114,PHEV,Original,55,Male,31.3,1,5,4,5,5,5,4,5,4,5,5,"$250,000 to $299,999",Level 2,No charging,No charging,18,1,40
36,2019,78,2013 Toyota Prius Plug-in,11,PHEV,Original,55,Male,6.37,4,,,,,,,,,,,,Level 2,Level 1,Level 1,17,0,25
37,2019,33,2017 Nissan Leaf,84,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,112,1,10
38,2019,19,2018 Chevrolet Volt,53,PHEV,Original,35,Male,5.55,4,5,4,5,5,5,5,5,4,4,4,"$100,000 to $149,999",Level 1,Level 2,Level 2,48,1,40
39,2019,68,2013 Nissan Leaf,84,BEV,Original,65,Male,,0,5,5,5,5,5,5,5,1,3,5,"$100,000 to $149,999",Level 2,,,24,0,40
41,2019,32,2017 Toyota Prius Prime,25,PHEV,Original,65,Female,,4,5,5,5,5,5,4,5,4,5,4,"$100,000 to $149,999",Level 2,Level 2,No charging,,1,40
42,2019,49,2013 Nissan Leaf,84,BEV,Discontinued,65,Female,11.33,0,5,5,5,4,5,1,5,1,5,5,"$150,000 to $199,999",Level 2,,,28,1,40
43,2019,58,2014 Nissan Leaf,84,BEV,Continued,45,Female,12.42,0,4,4,4,4,5,4,4,2,4,4,"$500,000 or more",Level 2,,,24,1,40
44,2019,71,2013 Chevrolet Volt,53,PHEV,Continued,75,Male,32.73,0,5,4,5,5,5,5,5,5,5,3,"$150,000 to $199,999",Level 1,,,24,1,40
46,2019,36,2017 Toyota Prius Prime,25,PHEV,Original,65,Female,42.2,1,5,4,5,5,4,2,5,2,5,5,"$100,000 to $149,999",Level 2,Level 2,No charging,42,0,40
47,2019,27,2017 Tesla Model S (75 kW-hr battery pack),249,BEV,Original,55,Female,,0,,,,,,,,,,,,Level 2,No charging,Level 2 & DC Fast,29,0,16
48,2019,18,2014 Tesla Model S,271,BEV,Continued,45,Female,7.95,0,5,5,5,5,5,4,4,5,5,5,"$250,000 to $299,999",Level 2,,,18,0,40
49,2019,20,2018 Chevrolet Volt,53,PHEV,Original,75,Male,,0,,,,,,,,,,,,Level 2,No charging,No charging,52,0,17
50,2019,64,2014 Toyota RAV4 EV,103,BEV,Original,75,Male,15.72,0,5,5,5,4,5,3,5,3,5,5,"$300,000 to $349,999",Level 2,Level 1,Level 1 & Level 2,32,0,40
52,2019,60,2015 Nissan Leaf,84,BEV,Original,65,Female,,0,5,5,5,5,5,2,5,2,5,5,I prefer not to answer,Level 2,No charging,No charging,25,0,40
53,2019,91,2012 Toyota Prius Plug-in,11,PHEV,Original,55,Male,11.25,12,5,5,5,5,5,4,5,2,5,5,"$50,000 to $99,999",Level 1,No charging,No charging,46,0,40
54,2019,33,2017 Chevrolet Bolt EV,238,BEV,Original,65,Male,,0,5,5,5,5,5,5,5,5,4,5,"$450,000 to $499,999",Level 2,Level 2,No charging,46,0,40
55,2019,43,2015 Tesla Model S,271,BEV,Continued,75,Male,19.55,0,5,4,5,5,5,3,5,2,4,5,"$300,000 to $349,999",Level 2,DC Fast,No charging,26,0,40
56,2019,,2011 Nissan Leaf,84,BEV,Original,35,Female,8.85,0,4,5,5,4,5,5,5,3,5,5,"$100,000 to $149,999",No Charging,,,,0,40
57,2019,30,2016 Volkswagen e-Golf,84,BEV,Continued,45,Male,8.24,0,5,4,5,5,5,4,5,3,5,3,"$150,000 to $199,999",Level 2,Level 2,No charging,18,1,40
58,2019,34,2017 Toyota Prius Prime,25,PHEV,Original,35,Female,2.95,0,5,4,5,2,5,5,5,1,4,3,"$150,000 to $199,999",Level 1,No charging,No charging,,0,40
59,2019,20,2018 BMW i3 (94Ah),114,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,24,1,10
60,2019,28,2017 Chevrolet Bolt EV,238,BEV,Original,75,Male,1.96,0,5,5,5,5,5,2,5,5,5,5,"$100,000 to $149,999",No Charging,Level 2,No charging,24,0,40
61,2019,36,2016 Chevrolet Volt,53,PHEV,Continued,75,Male,,0,,,,,,,,,,,,Level 1,No charging,No charging,24,1,17
62,2019,34,2013 Tesla Model S,271,BEV,Continued,55,Male,57.79,0,5,5,5,5,5,2,5,4,5,5,"$250,000 to $299,999",Level 2,,DC Fast,27,0,40
63,2019,34,2017 Chevrolet Bolt EV,238,BEV,Original,75,Male,2.77,20,5,5,5,5,5,5,5,5,5,5,"$200,000 to $249,999",Level 2,No charging,No charging,117,1,40
64,2019,80,2013 Chevrolet Volt,53,PHEV,Original,45,Female,26.17,4,4,5,5,5,5,4,5,4,3,5,"$150,000 to $199,999",Level 2,,Level 2,24,0,40
65,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,55,Female,1.38,8,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,,1,40
66,2019,24,2017 Chevrolet Volt,53,PHEV,Original,55,Male,13.18,2,5,5,5,5,5,5,4,4,4,5,"$100,000 to $149,999",Level 2,Level 2,No charging,14,0,40
67,2019,36,2015 Nissan Leaf,84,BEV,Continued,55,Male,4.18,0,5,4,5,5,5,4,5,2,5,4,"$250,000 to $299,999",Level 1,Level 2,No charging,40,1,40
68,2019,36,2016 Chevrolet Volt,53,PHEV,Continued,65,Male,5.07,0,5,4,5,5,5,5,5,4,5,4,"$100,000 to $149,999",Level 2,No charging,No charging,24,1,40
69,2019,22,2016 Tesla Model X AWD - 90D,257,BEV,Original,55,Male,35.44,2,5,5,5,5,5,4,5,5,5,5,"$200,000 to $249,999",Level 1,Level 2,DC Fast,89,0,40
70,2019,40,2017 Chevrolet Volt,53,PHEV,Original,55,Female,11.25,0,3,4,4,4,5,4,2,4,4,3,"$150,000 to $199,999",Level 1,No charging,No charging,,0,40
71,2019,35,2015 Ford C-Max Energi,20,PHEV,Continued,55,Male,,0,,,,,,,,,,,,Level 1,No charging,No charging,24,1,17
72,2019,76,2013 Ford C-Max Energi,20,PHEV,Original,75,Male,5.1,0,5,5,5,5,5,5,5,5,5,4,"$300,000 to $349,999",Level 1,,,23,0,40
73,2019,31,2017 Chevrolet Bolt EV,238,BEV,Original,55,Female,,5,5,2,5,5,5,4,5,5,5,4,"$150,000 to $199,999",Level 2,No charging,No charging,29,1,40
74,2019,68,2014 Chevrolet Volt,53,PHEV,Original,65,Male,3.05,1,5,4,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,,,15,0,40
75,2019,32,2017 Nissan Leaf,84,BEV,Original,80,Female,2.19,0,5,5,5,5,5,5,5,2,4,3,"$100,000 to $149,999",Level 2,No charging,Level 2,,1,40
76,2019,83,2012 Tesla Model S,271,BEV,Original,65,Female,19.48,2,5,5,5,5,5,5,5,5,5,3,"$50,000 to $99,999",Level 2,,DC Fast,,0,40
77,2019,40,2016 Chevrolet Volt,53,PHEV,Continued,25,Male,15.86,0,4,5,2,4,4,2,2,2,2,4,"Less than $50,000",Level 2,No charging,No charging,,0,40
79,2019,39,2016 Tesla Model X,270,BEV,Original,55,Male,7.11,6,5,5,5,5,5,2,5,5,5,4,I prefer not to answer,Level 2,No charging,No charging,116,0,40
80,2019,53,2015 Ford Fusion Energi,20,PHEV,Continued,75,Male,19.77,0,5,5,5,5,5,5,5,4,5,5,I prefer not to answer,Level 2,No charging,No charging,29,0,40
81,2019,36,2017 Toyota Prius Prime,25,PHEV,Original,55,Female,11.87,3,5,5,5,5,5,5,5,5,4,5,"$100,000 to $149,999",Level 1,Level 2,No charging,25,0,40
82,2019,64,2014 Toyota Prius Plug-in,11,PHEV,Original,65,Male,,0,3,1,5,3,3,3,5,1,1,1,"$150,000 to $199,999",Level 1,,,15,0,40
83,2019,23,2017 Tesla Model S AWD - 75D,249,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,23,0,6
84,2019,20,2018 Chevrolet Bolt EV,238,BEV,Original,55,Male,30.11,0,5,4,5,5,5,4,5,5,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,116,0,40
