"﻿""id. Response ID""",Electric driving range,oldcartype,Discontinuance (inc. purchased lease) 2,Age,Gender,Oneway_commute_dist,Long_trip_num,Safety,Refuelling/Recharging costs,Environmental impacts,Reliability,Electric driving range,Convenience of charging,Household_income,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Public charging,Second_vehicle,"Lease (1 lease, 0 other)",Survey_completion
8,300,,Original,65,Female,28.53,0,5,5,5,5,5,4,"$250,000 to $299,999",No Charging,,,,0,40
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
165,11,,Continued,65,Male,28.03,2,4,5,4,5,2,2,"$100,000 to $149,999",No Charging,,,,1,40
180,300,,Continued,55,Male,9.96,0,5,5,5,5,2,2,"$250,000 to $299,999",No Charging,,,,0,40
186,300,,Original,65,Male,20.04,0,4,1,5,4,4,1,"$400,000 to $449,999",No Charging,,,,0,40
220,300,,Original,45,Male,4.5,5,3,1,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
245,300,,Discontinued,35,Male,,0,4,5,5,4,4,1,"$250,000 to $299,999",No Charging,,,,0,40
293,300,,Original,45,Male,5.89,2,4,4,5,5,3,2,"$200,000 to $249,999",No Charging,,,,0,40
301,300,,Original,55,Male,8.61,3,5,5,5,5,5,5,"$500,000 or more",No Charging,,,,0,40
403,300,,Original,55,Male,15.26,5,5,2,5,5,4,1,"$150,000 to $199,999",No Charging,,,,0,40
425,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
428,300,,Original,65,Female,,0,,,,,,,,No Charging,,,,0,17
442,300,,Original,45,Female,35.56,0,3,5,5,1,1,1,"$200,000 to $249,999",No Charging,,,,0,40
486,300,,Original,45,Female,16,0,5,5,5,5,3,3,"$200,000 to $249,999",No Charging,,,,0,40
492,238,,Original,75,Male,1.04,2,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,Level 1,,25,0,40
502,300,,Original,55,Female,36.85,0,5,1,5,5,2,2,"$150,000 to $199,999",No Charging,,,,0,40
526,300,,Original,65,Male,6.56,2,5,1,5,2,2,1,I prefer not to answer,No Charging,,,,0,40
528,238,,Original,75,Male,20.66,0,4,5,5,5,4,5,"$200,000 to $249,999",No Charging,,,27,1,40
593,89,,Original,65,Male,2.11,0,4,5,5,5,2,5,"$100,000 to $149,999",No Charging,Level 1,,15,1,40
600,300,,Discontinued,75,Male,,0,2,5,5,1,4,4,"$250,000 to $299,999",No Charging,,,,0,40
625,300,,Original,45,Male,10.62,0,3,4,3,2,2,2,"$100,000 to $149,999",No Charging,,,,0,40
626,300,,Original,55,Male,9.77,5,5,5,5,5,5,5,"$200,000 to $249,999",No Charging,,,,0,40
661,300,,Original,65,Male,14.1,0,5,2,5,4,4,3,"$100,000 to $149,999",No Charging,,,,0,40
665,300,,Original,75,Male,,4,5,5,5,5,5,2,"$100,000 to $149,999",No Charging,,,,0,40
703,300,,Original,45,Male,46.48,2,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
716,300,,Original,55,Male,15.58,0,5,5,5,5,3,3,"$350,000 to $399,999",No Charging,,,,0,40
717,300,,Original,55,Female,8.43,3,4,5,5,5,5,1,"$50,000 to $99,999",No Charging,,,,0,40
750,300,,Original,65,Female,4.18,0,5,5,5,5,4,1,"$150,000 to $199,999",No Charging,,,,0,40
775,300,,Discontinued,65,Male,9.1,0,5,5,5,5,2,3,"$350,000 to $399,999",No Charging,,,,0,40
835,11,,Original,,,,0,,,,,,,,No Charging,,,35,0,3
836,300,,Discontinued,45,Female,7.35,0,5,1,5,5,2,3,"$150,000 to $199,999",No Charging,,,,0,40
873,300,,Original,45,Male,39.31,1,,,,,,,,No Charging,,,,0,19
902,300,,Original,55,Male,45.34,0,5,5,5,5,2,1,"$500,000 or more",No Charging,,,,0,40
909,300,,Original,55,Male,7.79,0,5,5,5,5,4,3,"$350,000 to $399,999",No Charging,,,,0,40
955,300,,Discontinued,55,Male,3.94,0,5,5,5,2,5,2,I prefer not to answer,No Charging,,,,0,40
975,300,,Original,75,Male,21.35,3,5,5,5,5,4,5,"$100,000 to $149,999",No Charging,,,,0,40
1043,300,,Original,45,Male,10.64,0,4,5,5,5,4,3,"$500,000 or more",No Charging,,,,0,40
1092,81,,Original,65,Male,10.42,0,4,4,5,4,1,2,"$200,000 to $249,999",No Charging,Level 2,Level 2,,1,40
1126,300,,Continued,45,Male,36.96,0,5,5,5,5,4,5,"$200,000 to $249,999",No Charging,,,,0,40
1147,300,,Continued,55,Male,37.87,0,3,5,5,3,4,2,"$150,000 to $199,999",No Charging,,,,0,40
1152,300,,Original,35,Female,35.85,1,4,2,5,3,1,1,"$50,000 to $99,999",No Charging,,,,0,40
1171,300,,Discontinued,65,Male,21.65,0,5,1,5,2,4,1,"$250,000 to $299,999",No Charging,,,,0,40
1181,300,,Continued,75,Male,8.72,0,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
1207,300,,Original,55,Male,248.53,0,4,5,5,5,5,4,"$50,000 to $99,999",No Charging,,,,0,40
1215,300,,Original,45,Male,18.26,1,5,2,5,4,4,1,"$200,000 to $249,999",No Charging,,,,0,40
1229,300,,Original,45,Male,5.16,2,5,5,5,5,4,2,"$50,000 to $99,999",No Charging,,,,0,40
1279,300,,Original,65,Male,10.46,0,5,5,3,4,1,2,"$50,000 to $99,999",No Charging,,,,0,40
1303,300,,Original,,,,0,,,,,,,,No Charging,,,,0,6
1311,300,,Discontinued,65,Male,22.44,0,5,3,5,5,4,3,"$100,000 to $149,999",No Charging,,,,0,40
1327,300,,Original,25,Male,41.57,0,5,1,5,4,3,3,"$50,000 to $99,999",No Charging,,,,0,40
1355,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
1385,89,,Original,55,Male,37.12,1,5,2,5,5,5,3,"$100,000 to $149,999",No Charging,,,,0,40
1393,300,,Discontinued,35,Male,56.98,0,5,5,5,5,4,5,"$300,000 to $349,999",No Charging,,,,0,40
1501,300,,Original,25,Male,42.85,0,5,4,5,5,4,2,"$100,000 to $149,999",No Charging,,,,0,40
1502,89,,Original,65,Female,4.91,0,5,5,5,5,1,5,"$50,000 to $99,999",No Charging,,,18,1,40
1523,300,,Original,55,Female,7.78,1,5,5,5,4,2,2,"$500,000 or more",No Charging,,,,0,40
1526,300,,Original,65,Male,32.34,0,5,5,5,5,2,5,"$250,000 to $299,999",No Charging,,,,0,40
1535,300,,Original,35,Male,3.76,5,5,4,5,5,2,2,"$50,000 to $99,999",No Charging,,,,0,40
1574,300,,Continued,45,Male,11.43,0,4,5,5,1,4,1,"$150,000 to $199,999",No Charging,,,,0,40
1586,300,,Discontinued,65,Male,5.8,0,5,5,5,5,5,2,"$100,000 to $149,999",No Charging,,,,0,40
