Electric driving range,oldcartype,Age,Gender,Oneway_commute_dist,Long_trip_num,Safety,Refuelling/Recharging costs,Environmental impacts,Reliability,Electric driving range.1,Convenience of charging,Household_income,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Public charging,Second_vehicle,"Lease (1 lease, 0 other)",Discontinuance (inc. purchased lease) 2
0.031141868512110725,1.0,0.27419354838709675,0.0,0.09774127310061602,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.19999999999999998,0.0,0.08947368421052632,0.0,1.0
0.25259515570934254,0.0,0.43548387096774194,1.0,0.019829862129656792,0.0,0.75,1.0,1.0,1.0,0.25,0.75,0.6,1.0,0.3333333333333333,0.3333333333333333,0.06140350877192982,1.0,0.0
0.031141868512110725,1.0,0.7580645161290323,0.0,0.13804634790261072,0.0,1.0,0.25,0.5,0.25,0.25,0.25,0.3,0.5,0.0,0.0,0.07017543859649122,1.0,0.0
0.1453287197231834,1.0,0.5967741935483871,0.0,0.026342035787621006,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.0,0.9122807017543859,1.0,0.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.12854209445585216,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,0.7719298245614035,1.0,0.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.056145497213259024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,0.0,0.2807017543859649,1.0,0.0
0.2422145328719723,0.0,0.7580645161290323,0.0,0.0007626870049867998,0.0,0.5,1.0,0.5,0.5,0.25,0.5,1.0,1.0,0.13333333333333333,0.3333333333333333,0.05263157894736842,0.0,1.0
0.25259515570934254,0.0,0.7580645161290323,0.0,0.011088295687885009,0.0,1.0,1.0,1.0,1.0,0.25,0.75,0.1,1.0,0.13333333333333333,1.0,0.07017543859649122,1.0,1.0
0.8961937716262975,0.0,0.9193548387096774,0.0,0.050748019947198596,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.0,1.0,0.17543859649122806,1.0,0.0
0.8996539792387543,0.0,0.43548387096774194,0.0,0.06987386330302142,0.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.0,0.6666666666666666,1.0,0.3508771929824561,1.0,0.0
0.2422145328719723,1.0,0.5967741935483871,0.0,0.0824288647697272,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.4,0.0,0.3333333333333333,0.0,0.06140350877192982,1.0,0.0
0.356401384083045,1.0,0.5967741935483871,0.0,0.01331768847169258,0.08,1.0,1.0,1.0,1.0,0.75,1.0,0.3,1.0,0.6666666666666666,0.0,0.8947368421052632,1.0,0.0
0.24567474048442905,0.0,0.5967741935483871,1.0,0.09392783807568202,0.0,0.75,1.0,1.0,1.0,0.75,0.75,0.32,0.5,0.6,0.13333333333333333,0.14035087719298245,1.0,1.0
0.031141868512110725,1.0,0.43548387096774194,0.0,0.39202112056321503,0.0,1.0,1.0,1.0,0.5,0.75,0.75,0.4,0.5,0.6666666666666666,0.0,0.11403508771929824,0.0,1.0
0.25259515570934254,0.0,0.7580645161290323,1.0,0.005925491346435904,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.1,0.5,0.6666666666666666,1.0,0.12280701754385964,1.0,1.0
0.01730103806228374,1.0,0.27419354838709675,1.0,0.010618949838662366,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3,0.5,0.0,0.0,0.11403508771929824,1.0,1.0
0.2422145328719723,1.0,0.5967741935483871,0.0,0.030096802581402172,0.0,0.75,1.0,1.0,0.75,0.25,0.25,0.4,0.5,0.0,0.0,0.12280701754385964,1.0,0.0
